Дата;Сумма;Назначение;Контрагент;Тип
2025-01-15;50000;Поступление от клиента;ООО Рога и копыта;приход
2025-01-16;-3500;Оплата аренды;Арендодатель;расход
2025-01-17;-1200;Продукты;Магнит;расход
2025-01-18;25000;Оплата за проект;ИП Иванов;приход
2025-01-19;-500;Интернет;Ростелеком;расход
2025-01-20;-850;Обед;Кафе Пушкин;расход
2025-01-21;15000;Аванс за услуги;Фриланс-клиент;приход
2025-01-22;-2200;Транспорт;Яндекс Такси;расход
2025-01-23;-450;Связь;МТС;расход
2025-01-24;32000;Оплата по договору;ООО Заказчик;приход
2025-01-25;-12000;Закупка материалов;ООО Стройматериалы;расход
2025-01-26;-1800;Подписка на софт;Яндекс Плюс;расход
2025-01-27;8000;Возврат;Покупатель;приход
2025-01-28;-650;Канцтовары;Офисмаг;расход
2025-01-29;-2900;Курсы;Нетология;расход
2025-01-30;45000;Зарплата фриланс;Заказчик А;приход
